ANNOT	NSNP	STD	TAU1	TAU1_SE	TAU2	TAU2_SE	THETA	THETA_SE	HSQ1	HSQ1_SE	HSQ2	HSQ2_SE	GCOV	GCOV_SE	GCORSQ	GCORSQ_SE	HSQ1_ENRICHMENT	HSQ1_ENRICHMENT_SE	HSQ2_ENRICHMENT	HSQ2_ENRICHMENT_SE	GCOV_ENRICHMENT	GCOV_ENRICHMENT_SE	GCORSQ_ENRICHMENT	GCORSQ_ENRICHMENT_SE	GCORSQ_ENRICHMENT_P	GCOVSQ_DIFF	GCOVSQ_DIFF_SE	GCOVSQ_DIFF_P
DHS_Trynka.bed	175024.0	0.3793625	2.3539219284884894e-07	7.063991347422416e-07	5.942733878327999e-07	7.871759066802042e-07	7.754176181151706e-07	4.651744802686153e-07	0.07597228059686474	0.04414273993525345	0.09777718541696184	0.05927204111451801	0.11249142753325933	0.04261274512720972	0.5656487816468272	0.14532639618989393	2.046690669513767	1.241736155644672	2.5792752924514066	1.5451731385374423	4.325172710098425	1.6316939455153534	1.124987185843501	0.09930636055583388	0.21413788340816464	0.007230267777081226	0.008578047746655859	0.403391046365458
DHS_Trynka.extend.500.bed	521239.0	0.49959892	-5.72210126392747e-07	3.381605608865357e-07	-2.3256724546172336e-07	3.487362505438796e-07	9.724727334514682e-08	1.9277926810445933e-07	0.11176205254890989	0.05228218471469054	0.11431975782208428	0.034653674752044956	0.1479900148596066	0.026487673181589354	0.65651122249054	0.16215785327003276	1.05111059146633	0.4936652743092128	1.0045343267254887	0.2816357783731968	1.9032757727305636	0.35005358730299485	1.3056984061983647	0.16375143494904207	0.06791250196383092	0.014784276445007336	0.007811552971485263	0.0643238656882692
Enhancer_Andersson.bed	4341.0	0.06516125	2.2814317901520553e-07	2.647272367539699e-06	4.627799796708132e-07	2.8497584025899414e-06	4.094665200682357e-06	2.2641370378551073e-06	0.004407635528357215	0.01005720355962781	0.0012011972728721036	0.009433238249348766	0.018058454743759236	0.007987748397222546	1.1185625500129621	0.5530087021104634	4.602639695274774	11.370302254015298	1.3705771306561116	9.976822051979882	27.640518382175454	11.884911357591344	2.224646416925719	0.9400991815341959	0.19877402336834726	0.0002665476271151371	0.0002830303432117736	0.3509338498759449
Enhancer_Andersson.extend.500.bed	19246.0	0.13570319	-5.855472906546311e-08	7.972664661792805e-07	-7.382549256362836e-07	9.170915973299998e-07	-4.985733994544717e-07	6.819828968218644e-07	0.012821848229502742	0.011540825062505035	-0.0024526115221216722	0.011252087052192734	0.016487063554819634	0.008747636178015623	0.8498841704725993	0.40273997656889493	3.2303167184207466	2.8635576058301555	-0.7729860769640615	2.6932637056587074	5.789728735553131	3.113223555303268	1.6902870336771472	0.6274349084064771	0.2766323645706332	0.00020726259771762178	0.0002783519681006706	0.4600662092381702
Enhancer_Hoffman.bed	43784.0	0.20213129	5.945200882706558e-07	9.853195024334127e-07	7.75818080001045e-07	8.880377890818636e-07	-3.0914347348698357e-07	7.109947546268813e-07	0.045786672284693894	0.02486639856683239	0.04491955297164533	0.02062633174663531	0.023165513625238138	0.018851561086523482	0.4512248537515979	0.13915346524665373	5.138705891333355	2.767678503279542	4.705312219036981	2.1961378932445164	3.4512543891670977	2.81331705767273	0.897415843320243	0.1592304974360178	0.5224182451446033	-0.0007679148182397507	0.0007839542350386951	0.3321247751889702
Enhancer_Hoffman.extend.500.bed	92916.0	0.28777066	-2.501804203802749e-07	5.293438789522042e-07	1.4986852647780324e-08	5.608858373307157e-07	9.220148911026627e-08	3.525276497384766e-07	0.06048287254619634	0.021775067177780945	0.06057789038909709	0.021958940714116332	0.05193945817458287	0.017666860690667176	0.5605448591042016	0.13639626632265578	3.227501766813801	1.2512117481022629	2.9769242615227176	1.1129969148071466	3.7338370449705	1.2273629038303893	1.114836280114906	0.19923707871610788	0.5669966415470986	0.0005493282019902448	0.0016044285187096772	0.7335274055155949
FetalDHS_Trynka.bed	87443.0	0.28134948	6.62364016079664e-07	8.23808193217701e-07	6.588988412659091e-07	7.02077898040443e-07	4.3861001586265047e-07	6.507539751510194e-07	0.07836514697216822	0.04039731201116588	0.06495743087474272	0.03763884589839124	0.06791361180398058	0.03697519429343528	0.5318447219386905	0.13205778964128412	4.402764678621495	2.402895882127329	3.535788811047936	1.9968344851547142	5.263908566171105	2.854663842386599	1.057756184495943	0.1115638518315095	0.6069997510327523	0.0007016751633602868	0.0045644487917505605	0.8784570376463534
FetalDHS_Trynka.extend.500.bed	296525.0	0.4526498	2.408026773537131e-07	3.5374546314415056e-07	-4.804434183824924e-07	3.3937232046810095e-07	-1.481110700751742e-07	3.0056966693337017e-07	0.1294691164637415	0.042615860409563104	0.054182096587806296	0.03236246581324929	0.09836406836031315	0.02927434992153981	0.5943392651798274	0.14155908609067583	2.1211258691038704	0.7394602386275851	0.8730860714286048	0.4873833492811571	2.172631676068722	0.6434293882350461	1.1820480818933605	0.14331013226080955	0.20997360693736322	0.005348527291241358	0.0050783858266222025	0.2974178817381712
H3K27ac_Hnisz.bed	406051.0	0.4892533	1.3462240531225689e-06	6.743811127307708e-07	2.040356577026614e-07	6.046761882316787e-07	-2.036472324107308e-07	5.180505695534521e-07	0.14701834604398464	0.022059797703633074	0.1440253850972671	0.022983430488807667	0.09447806595110067	0.012802707094478932	0.4553511994495049	0.10662600330032876	1.7747272522599606	0.2504414078455707	1.6320134197031004	0.22069284917054452	1.5676935893718302	0.19686762998453142	0.9056225012060621	0.14738360911614884	0.5249266017557548	-0.001919180388459887	0.0027702500412276725	0.4917166801794388
H3K27ac_Hnisz.extend.500.bed	438851.0	0.49658862	-1.5104095609785873e-06	6.474288056779187e-07	-2.766777811302745e-07	5.842966288582829e-07	5.831670435441083e-08	5.086795340503159e-07	0.11053012951897181	0.022559405566354215	0.14656206541489192	0.02182772594781034	0.10255613332829339	0.017809440726079595	0.5523624079698328	0.16196867843826135	1.235097869387571	0.21944178490054841	1.5331678342633812	0.19178002769361088	1.5758313278568072	0.22450880406823193	1.0985626612658463	0.15058655700842233	0.5158342848833946	0.0020915356860935694	0.0032252651588260293	0.5196990339453573
H3K27ac_PGC2.bed	279925.0	0.44855613	1.6077737541309034e-07	6.770279128431866e-07	-9.863267678156262e-07	5.107608558319043e-07	-2.8113117878092453e-07	4.2898267338387086e-07	0.12298282914495907	0.0390747599941643	0.07666047729614657	0.030407859137626243	0.0787134830718613	0.026701891249143593	0.5218361396785421	0.14489321950022227	2.145984475719347	0.7208439860865099	1.29509996464813	0.4908491578814334	1.894430856033808	0.5843649879469743	1.037850675713008	0.13027976557462295	0.7726340204665223	0.0006618978925865011	0.0036438939098178053	0.8566100731771786
H3K27ac_PGC2.extend.500.bed	348885.0	0.47771165	-1.1350388007258516e-07	5.306128514348529e-07	6.99938766501873e-07	4.700313525063393e-07	4.743458248412935e-08	3.5195344594285416e-07	0.12570809796172072	0.022844482558601272	0.14430700355720794	0.02682712230986493	0.09606039332918927	0.018213155282363943	0.5007433530963027	0.14092691036588711	1.7654859704361037	0.3251306000195464	1.886101642619502	0.3123456951194837	1.8473180363610482	0.29484633301026997	0.9959004136622946	0.14149813270054443	0.9770040285797459	-0.00026217408412207606	0.003172079705231918	0.93446613117111
